"XTSOL";"p_model";"p_stock";"p_sorting";"p_shipping";"p_tpl";"p_manufacturer";"p_fsk18";"p_priceNoTax";"p_priceNoTax.1";"p_priceNoTax.2";"p_priceNoTax.3";"p_tax";"p_status";"p_weight";"p_ean";"p_disc";"p_opttpl";"p_vpe";"p_vpe_status";"p_vpe_value";"p_image";"p_name.ru";"p_desc.ru";"p_shortdesc.ru";"p_meta_title.ru";"p_meta_desc.ru";"p_meta_key.ru";"p_keywords.ru";"p_url.ru";"p_cat.0";"p_cat.1";"p_cat.2";"p_cat.3";"p_cat.4";"p_cat.5"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br001/4.jpg";"br001/7.jpg";;"br_main/1.jpeg";"br001";"<p>Браслет Изготовлен из семян</p>";"<p>Браслет изготовлен из семян</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br002/3.jpg";"br002/7.jpg";"br001/8.jpg";"br_main/2.jpeg";"br002";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br003/3.jpg";"br003/2.jpg";;"br_main/3.jpeg";"br003";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из дерева</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br004/4.jpg";"br004/5.jpg";;"br_main/4.jpeg";"br004";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из дерева</p>";;;;;;"Браслеты";
"XTSOL";;"2";"0";"1";"default";"PeruArt";"0";"150.0000";"1:170.0000";"1:190.0000";"1:200.0000";;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br005/9.jpg";"br005/3.jpg";;"br_main/5.jpeg";"br005";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"br006/5.jpg";"br006/2.jpg";"br006/3.jpg";"br_main/6.jpeg";"br006";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"180.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br007/2.jpg";"br007/4.jpg";;"br_main/7.jpeg";"br007";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br008/3.jpg";"br008/4.jpg";;"br_main/8.jpeg";"br008";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br009/2.jpg";"br009/4.jpg";;"br_main/9.jpeg";"br009";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"br010/4.jpg";"br010/7.jpg";;"br_main/10.jpeg";"br010";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br011/1.jpg";"br011/5.jpg";"br011/6.jpg";"br_main/11.jpeg";"br011";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br012/3.jpg";"br012/5.jpg";;"br_main/12.jpeg";"br012";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"br013/2.jpg";"br013/3.jpg";"br013/4.jpg";"br_main/13.jpeg";"br013";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"br014/4.jpg";"br014/6.jpg";;"br_main/14.jpeg";"br014";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br015/2.jpg";"br015/4.jpg";;"br_main/15.jpeg";"br015";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"br016/5.jpg";"br016/7.jpg";"br016/8.jpg";"br_main/16.jpeg";"br016";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
